smiles,martini_bead,dg_wo_aa,dg_wo_cg,apka,bpka,acidity,log_perm_coeff,n_atoms
CC,C5,-1.977,-1.656,NOT,NOT,N,0.269,2
CN,P2,1.455,0.92,NOT,10.08,B,-4.686,2
CO,P3,1.894,2.106,15.78,-2.46,A,-2.865,2
CF,Na,-0.549,-0.595,NOT,NOT,N,-1.005,2
FF,N0,-1.304,-1.009,NOT,NOT,N,-0.191,2
C=C,N0,-1.235,-1.009,NOT,NOT,N,-0.191,2
C=O,P2,0.947,0.92,NOT,-8.09,N,-2.012,2
O=O,P3,1.784,2.106,NOT,NOT,N,-2.865,2
C#C,P1,0.041,0.54,NOT,NOT,N,-1.574,2
CCC,C3,-3.006,-2.93,NOT,NOT,N,0.023,3
CCN,P1,0.275,0.54,NOT,10.23,B,-4.391,3
CCO,P1,0.549,0.54,16.47,-2.16,N,-1.574,3
CCF,C5,-1.386,-1.656,NOT,NOT,N,0.269,3
FCF,N0,-0.398,-1.009,NOT,NOT,N,-0.191,3
CNC,P1,0.727,0.54,NOT,10.52,B,-4.678,3
COC,P1,0.22,0.54,NOT,-4.08,N,-1.574,3
CC=C,C4,-2.306,-2.424,NOT,NOT,N,0.183,3
CC=O,Na,0.014,-0.595,16.73,-6.87,N,-1.005,3
CC#N,P1,0.055,0.54,NOT,NOT,N,-1.574,3
NC=N,P3,1.922,2.106,NOT,12.18,B,-7.411,3
NC=O,P3,2.1,2.106,16.67,-0.71,B,-2.865,3
OC=O,P1,0.59,0.54,4.27,NOT,A,-4.695,3
FC=C,C5,-1.4,-1.656,NOT,NOT,N,0.269,3
NN=C,P1,0.439,0.54,NOT,5.69,B,-1.574,3
ON=C,P1,0.426,0.54,10.94,3.14,A,-1.574,3
CC#C,N0,-1.263,-1.009,NOT,NOT,N,-0.191,3
C1CC1,SC5,-2.141,-1.656,NOT,NOT,N,0.269,3
C1CN1,SP2,1.469,0.92,NOT,8.04,B,-2.650,3
C1CO1,SP1,0.645,0.54,NOT,-4.15,N,-1.574,3
CC(C)C,C3,-2.965,-2.93,NOT,NOT,N,0.023,4
CC(C)N,Nd,0.069,-0.595,NOT,10.43,B,-3.985,4
CC(C)O,Nda,-0.055,-0.595,17.26,-1.81,B,-0.895,4
CC(C)F,C5,-1.469,-1.656,NOT,NOT,N,0.269,4
CC(F)F,N0,-1.084,-1.009,NOT,NOT,N,-0.191,4
FC(F)F,N0,-1.331,-1.009,NOT,NOT,N,-0.191,4
CN(C)C,P1,0.192,0.54,NOT,9.57,B,-3.735,4
CC(C)=C,C4,-2.567,-2.424,NOT,NOT,N,0.183,4
CC(C)=O,P1,0.398,0.54,19.51,-7.19,N,-1.574,4
CC(N)=N,P2,1.373,0.92,NOT,12.99,B,-7.388,4
CC(N)=O,P2,1.51,0.92,16.75,-1.40,B,-2.012,4
CC(O)=O,P1,0.165,0.54,4.54,NOT,A,-4.426,4
CC(F)=C,C5,-1.771,-1.656,NOT,NOT,N,0.269,4
NC(N)=N,P4,2.635,2.223,NOT,12.55,B,-7.904,4
NC(N)=O,P4,2.443,2.223,15.73,-2.37,A,-3.365,4
OC(O)=O,Nda,-0.824,-0.595,6.05,NOT,A,-2.231,4
FC(F)=C,C4,-2.141,-2.424,NOT,NOT,N,0.183,4
CCCC,C1,-3.857,-3.394,NOT,NOT,N,0.071,4
CCCN,Nd,-0.426,-0.595,NOT,10.21,B,-3.766,4
CCCO,Nda,-0.288,-0.595,16.85,-1.99,B,-0.895,4
CCCF,C4,-2.292,-2.424,NOT,NOT,N,0.183,4
NCCN,P4,2.43,2.223,NOT,9.69,B,-5.638,4
NCCO,P3,2.1,2.106,15.61,9.55,B,-5.009,4
NCCF,P2,1.304,0.92,NOT,8.87,B,-3.480,4
OCCO,P3,2.086,2.106,14.83,-2.74,A,-2.865,4
OCCF,P2,0.878,0.92,14.74,-2.91,A,-2.012,4
FCCF,Na,-0.275,-0.595,NOT,NOT,N,-1.005,4
CCNC,Nd,-0.178,-0.595,NOT,10.54,B,-4.094,4
CCOC,Na,-0.81,-0.595,NOT,-4.10,N,-1.005,4
CCC=C,C3,-3.034,-2.93,NOT,NOT,N,0.023,4
CCC=O,Na,-0.426,-0.595,17.72,-6.94,N,-1.005,4
CCC#N,P1,0.014,0.54,NOT,NOT,N,-1.574,4
NCC=C,P1,0.59,0.54,NOT,9.66,B,-3.825,4
OCC=C,Nda,0.041,-0.595,16.16,-2.29,N,-0.895,4
OCC=O,P2,1.386,0.92,14.27,-3.12,A,-2.012,4
OCC#N,P3,1.633,2.106,12.96,-3.69,A,-2.865,4
FCC=C,Na,-1.263,-0.595,NOT,NOT,N,-1.005,4
FCC=O,P2,0.755,0.92,13.67,-7.62,A,-2.012,4
FCC#N,Na,-0.124,-0.595,NOT,NOT,N,-1.005,4
CNC=N,P3,1.867,2.106,NOT,12.36,B,-7.536,4
CNC=O,P3,1.798,2.106,16.54,-1.06,B,-2.865,4
NNC=N,P4,2.567,2.223,NOT,10.58,B,-6.483,4
NNC=O,P4,2.416,2.223,13.13,3.18,B,-3.365,4
ONC=N,P4,2.388,2.223,15.40,9.36,B,-5.315,4
ONC=O,P4,2.635,2.223,9.10,-5.38,A,-3.365,4
CNN=C,P2,0.796,0.92,NOT,5.48,B,-2.012,4
COC=C,Na,-0.673,-0.595,NOT,-4.69,N,-1.005,4
COC=O,P1,0.426,0.54,NOT,-6.81,N,-1.574,4
CON=C,P1,0.151,0.54,NOT,4.73,B,-1.574,4
CCC#C,C5,-1.935,-1.656,NOT,NOT,N,0.269,4
NCC#C,P2,1.016,0.92,NOT,8.97,B,-3.580,4
OCC#C,P2,1.029,0.92,13.65,-3.39,A,-2.012,4
FCC#C,Na,-0.81,-0.595,NOT,NOT,N,-1.005,4
C=CC=C,C4,-2.663,-2.424,NOT,NOT,N,0.183,4
C=CC=O,Na,-0.247,-0.595,NOT,-4.31,N,-1.005,4
C=CC#N,N0,-0.275,-1.009,NOT,NOT,N,-0.191,4
O=CC=O,Na,0.055,-0.595,NOT,-7.77,N,-1.005,4
O=CC#N,P1,0.384,0.54,9.64,-8.56,A,-1.574,4
N#CC#N,P2,0.892,0.92,NOT,NOT,N,-2.012,4
C=NN=C,N0,-1.153,-1.009,NOT,-0.39,B,-0.191,4
C=CC#C,N0,-1.112,-1.009,NOT,NOT,N,-0.191,4
O=CC#C,P1,0.261,0.54,18.84,-5.53,N,-1.574,4
C#CC#N,N0,-0.467,-1.009,18.43,NOT,N,-0.191,4
C#CC#C,N0,-1.071,-1.009,NOT,NOT,N,-0.191,4
CC=CC,C2,-3.157,-3.284,NOT,NOT,N,-0.009,4
CC=CF,C4,-2.251,-2.424,NOT,NOT,N,0.183,4
FC=CF,C5,-1.51,-1.656,NOT,NOT,N,0.269,4
CC=NN,Nd,0.096,-0.595,NOT,5.40,B,-0.974,4
CC=NO,P1,0.192,0.54,11.47,3.26,A,-1.574,4
CC#CC,C4,-2.333,-2.424,NOT,NOT,N,0.183,4
CC1CC1,SC5,-2.896,-1.656,NOT,NOT,N,0.269,4
NC1CC1,SP1,0.329,0.54,NOT,10.06,B,-4.222,4
OC1CC1,SP1,0.206,0.54,16.65,-2.08,N,-1.574,4
FC1CC1,SNa,-1.153,-0.595,NOT,NOT,N,-1.005,4
CC1CN1,SP1,0.659,0.54,NOT,7.95,B,-2.118,4
CC1CO1,SNa,-0.055,-0.595,NOT,-4.18,N,-1.005,4
CN1CC1,SP1,0.755,0.54,NOT,6.76,B,-1.571,4
CC(C)(C)C,C1,-4.049,-3.394,NOT,NOT,N,0.071,5
CC(C)(C)N,Nd,-1.112,-0.595,NOT,10.65,B,-4.204,5
CC(C)(C)O,Nda,-0.961,-0.595,18.09,-1.45,B,-0.895,5
CC(C)(C)F,C4,-2.402,-2.424,NOT,NOT,N,0.183,5
CC(C)(F)F,C5,-1.482,-1.656,NOT,NOT,N,0.269,5
CC(F)(F)F,N0,-1.29,-1.009,NOT,NOT,N,-0.191,5
FC(F)(F)F,C4,-2.402,-2.424,NOT,NOT,N,0.183,5
CCC(C)C,C1,-4.283,-3.394,NOT,NOT,N,0.071,5
CC(C)CN,Nd,-0.741,-0.595,NOT,10.24,B,-3.796,5
CC(C)CO,Nda,-0.824,-0.595,17.33,-1.78,B,-0.895,5
CC(C)CF,C4,-2.43,-2.424,NOT,NOT,N,0.183,5
CCC(C)N,Nd,-1.084,-0.595,NOT,10.44,B,-3.995,5
CC(N)CN,P3,1.867,2.106,NOT,9.83,B,-5.285,5
CC(N)CO,P2,1.318,0.92,15.14,9.79,B,-4.398,5
CC(N)CF,P1,0.508,0.54,NOT,9.11,B,-3.276,5
CCC(C)O,Nda,-0.906,-0.595,17.69,-1.62,B,-0.895,5
CC(O)CN,P2,1.414,0.92,15.30,9.60,B,-4.208,5
CC(O)CO,P3,1.524,2.106,14.47,-2.86,A,-2.865,5
CC(O)CF,P1,0.275,0.54,14.52,-3.01,A,-1.574,5
CCC(C)F,C2,-3.185,-3.284,NOT,NOT,N,-0.009,5
CC(F)CN,P1,0.535,0.54,NOT,8.92,B,-3.086,5
CC(F)CO,P1,0.233,0.54,14.34,-3.09,A,-1.574,5
CC(F)CF,Na,-0.988,-0.595,NOT,NOT,N,-1.005,5
CCC(F)F,C5,-1.675,-1.656,NOT,NOT,N,0.269,5
NCC(F)F,P2,0.782,0.92,NOT,7.54,B,-2.151,5
OCC(F)F,P1,0.494,0.54,13.05,-3.65,A,-1.574,5
FCC(F)F,Na,-0.645,-0.595,NOT,NOT,N,-1.005,5
CNC(C)C,Nd,-0.494,-0.595,NOT,10.59,B,-4.144,5
COC(C)C,Na,-1.071,-0.595,NOT,-4.12,N,-1.005,5
CCN(C)C,Nd,-0.975,-0.595,NOT,9.75,B,-3.308,5
CC(C)C=C,C2,-3.13,-3.284,NOT,NOT,N,-0.009,5
CC(C)C=O,Na,-0.824,-0.595,17.95,-7.01,N,-1.005,5
CC(C)C#N,N0,-0.686,-1.009,NOT,NOT,N,-0.191,5
CC(N)C=C,Nd,-0.124,-0.595,NOT,9.88,B,-3.438,5
CC(O)C=C,Nda,-0.659,-0.595,16.99,-1.93,B,-0.895,5
CC(O)C=O,P2,1.428,0.92,14.01,-3.23,A,-2.012,5
CC(O)C#N,P2,0.892,0.92,12.89,-3.72,A,-2.012,5
CC(F)C=C,C4,-2.279,-2.424,NOT,NOT,N,0.183,5
CC(F)C=O,P1,0.288,0.54,14.62,-7.68,A,-1.574,5
CC(F)C#N,Na,-0.522,-0.595,NOT,NOT,N,-1.005,5
FC(F)C=C,C5,-1.551,-1.656,NOT,NOT,N,0.269,5
FC(F)C=O,Na,-0.027,-0.595,10.95,-8.36,A,-1.005,5
FC(F)C#N,N0,-1.071,-1.009,NOT,NOT,N,-0.191,5
CN(C)C=N,P2,1.071,0.92,NOT,12.42,B,-6.925,5
CN(C)C=O,P2,1.057,0.92,NOT,-1.26,B,-2.012,5
CN(N)C=N,P3,1.784,2.106,NOT,10.42,B,-5.861,5
CN(N)C=O,P4,2.196,2.223,NOT,3.61,B,-3.365,5
CN(O)C=N,P2,1.51,0.92,15.25,8.96,B,-3.570,5
CN(O)C=O,P3,1.99,2.106,8.67,-5.57,A,-2.865,5
CN(C)N=C,P1,0.631,0.54,NOT,5.34,B,-1.574,5
CC(C)C#C,C4,-2.292,-2.424,NOT,NOT,N,0.183,5
CC(N)C#C,P1,0.192,0.54,NOT,9.20,B,-3.366,5
CC(O)C#C,P1,0.261,0.54,14.48,-3.03,A,-1.574,5
CC(F)C#C,C5,-1.551,-1.656,NOT,NOT,N,0.269,5
FC(F)C#C,N0,-0.92,-1.009,17.85,NOT,N,-0.191,5
CCC(C)=C,C1,-3.871,-3.394,NOT,NOT,N,0.071,5
CC(=C)CN,Nd,0.055,-0.595,NOT,9.67,B,-3.228,5
CC(=C)CO,Nda,-0.48,-0.595,16.60,-2.10,N,-0.895,5
CC(=C)CF,C4,-2.155,-2.424,NOT,NOT,N,0.183,5
CCC(C)=O,Na,-0.563,-0.595,19.68,-7.26,N,-1.005,5
CC(=O)CO,P2,1.4,0.92,13.88,-3.29,A,-2.012,5
CC(=O)CF,Na,-0.714,-0.595,16.69,-7.92,N,-1.005,5
CCC(N)=N,P1,0.563,0.54,NOT,12.95,B,-6.974,5
NCC(N)=N,P4,3.13,2.223,NOT,11.51,B,-7.282,5
NC(=N)CO,P4,2.608,2.223,14.34,11.51,B,-7.282,5
NC(=N)CF,P2,1.18,0.92,NOT,8.49,B,-3.100,5
CCC(N)=O,P2,0.892,0.92,16.86,-1.55,B,-2.012,5
NCC(N)=O,P4,3.418,2.223,16.37,8.15,B,-4.114,5
NC(=O)CO,P4,2.361,2.223,13.65,-3.39,A,-3.365,5
NC(=O)CF,P2,0.878,0.92,14.05,-8.96,A,-2.012,5
CCC(O)=O,Nda,-0.453,-0.595,4.75,NOT,A,-3.529,5
NCC(O)=O,P4,4.585,2.223,2.31,9.24,Z,NOT,5
OCC(O)=O,P2,1.4,0.92,3.53,-3.61,A,-5.869,5
OC(=O)CF,P1,0.467,0.54,3.13,NOT,A,-5.819,5
CCC(F)=C,C3,-2.8,-2.93,NOT,NOT,N,0.023,5
NCC(F)=C,P1,0.48,0.54,NOT,8.16,B,-2.328,5
OCC(F)=C,Nda,0.041,-0.595,13.96,-3.25,A,-0.895,5
FCC(F)=C,C5,-1.537,-1.656,NOT,NOT,N,0.269,5
CNC(C)=N,P1,0.563,0.54,NOT,13.15,B,-7.140,5
CC(=N)NN,P2,1.318,0.92,NOT,11.38,B,-5.963,5
CC(=N)NO,P2,1.331,0.92,14.94,10.13,B,-4.736,5
CNC(C)=O,P2,1.455,0.92,16.47,-1.59,B,-2.012,5
CC(=O)NN,P5,2.169,2.122,13.18,3.28,B,-4.518,5
CC(=O)NO,P3,2.004,2.106,8.94,-5.45,A,-2.865,5
CNC(N)=N,P3,1.826,2.106,NOT,12.78,B,-7.787,5
NNC(N)=N,P4,2.416,2.223,NOT,12.01,B,-7.633,5
NC(=N)NO,P4,2.484,2.223,14.82,10.51,B,-6.419,5
CNC(N)=O,P5,2.128,2.122,15.68,-2.19,A,-4.518,5
NNC(N)=O,P4,2.581,2.223,12.85,3.09,B,-3.365,5
NC(=O)NO,P4,2.512,2.223,10.14,-4.91,A,-3.365,5
COC(C)=C,C5,-1.935,-1.656,NOT,-4.72,N,0.269,5
COC(C)=O,Na,-0.247,-0.595,NOT,-6.99,N,-1.005,5
COC(N)=N,P2,1.29,0.92,NOT,9.45,B,-4.059,5
COC(N)=O,P2,0.782,0.92,15.23,NOT,A,-2.012,5
CC(=C)C=C,C3,-3.047,-2.93,NOT,NOT,N,0.023,5
CC(=C)C=O,Na,-0.81,-0.595,NOT,-4.24,N,-1.005,5
CC(=C)C#N,N0,-1.249,-1.009,NOT,NOT,N,-0.191,5
CC(=O)C=C,Na,-0.7,-0.595,19.95,-4.67,N,-1.005,5
CC(=O)C=O,P1,0.522,0.54,16.38,-8.02,N,-1.574,5
CC(=O)C#N,P1,0.439,0.54,16.41,-8.91,N,-1.574,5
NC(=N)C=C,P2,0.975,0.92,NOT,12.65,B,-7.119,5
NC(=N)C=O,P3,2.059,2.106,NOT,6.14,B,-2.865,5
NC(=N)C#N,P2,1.496,0.92,NOT,5.55,B,-2.012,5
NC(=O)C=C,P2,0.892,0.92,16.70,0.00,B,-2.012,5
NC(=O)C=O,P3,2.018,2.106,14.41,-4.42,A,-2.865,5
NC(=O)C#N,P3,1.537,2.106,10.70,-4.86,A,-2.865,5
OC(=O)C=C,Nda,-0.631,-0.595,4.52,NOT,A,-3.759,5
OC(=O)C=O,P2,0.81,0.92,2.61,-9.24,A,-6.740,5
OC(=O)C#N,P1,0.412,0.54,0.46,NOT,A,-7.843,5
FC(=C)C=C,C4,-2.649,-2.424,NOT,NOT,N,0.183,5
FC(=C)C=O,Na,-0.494,-0.595,NOT,-6.93,N,-1.005,5
FC(=C)C#N,C5,-1.455,-1.656,NOT,NOT,N,0.269,5
CC(=C)C#C,C5,-1.702,-1.656,NOT,NOT,N,0.269,5
CC(=O)C#C,Na,0.11,-0.595,18.67,-5.90,N,-1.005,5
NC(=N)C#C,P2,1.126,0.92,NOT,10.73,B,-5.330,5
NC(=O)C#C,P2,1.18,0.92,14.07,-1.62,A,-2.012,5
OC(=O)C#C,P1,0.371,0.54,1.99,NOT,A,-6.878,5
FC(=C)C#C,C5,-1.496,-1.656,NOT,NOT,N,0.269,5
CC=C(C)C,C1,-3.706,-3.394,NOT,NOT,N,0.071,5
CC(C)=CF,C4,-2.292,-2.424,NOT,NOT,N,0.183,5
CC=C(C)F,C3,-2.883,-2.93,NOT,NOT,N,0.023,5
CC(F)=CF,C5,-2.018,-1.656,NOT,NOT,N,0.269,5
CC=C(F)F,C4,-2.635,-2.424,NOT,NOT,N,0.183,5
FC=C(F)F,C4,-2.1,-2.424,NOT,NOT,N,0.183,5
CC(C)=NN,Nd,-0.439,-0.595,NOT,5.18,B,-0.974,5
CC(C)=NO,Nda,-0.426,-0.595,11.82,3.24,B,-0.895,5
CC1(C)CC1,SC4,-3.075,-2.424,NOT,NOT,N,0.183,5
CC1(N)CC1,SNd,-0.069,-0.595,NOT,10.28,B,-3.836,5
CC1(O)CC1,SNda,-0.192,-0.595,17.47,-1.72,B,-0.895,5
CC1(F)CC1,SC5,-2.004,-1.656,NOT,NOT,N,0.269,5
FC1(F)CC1,SN0,-1.222,-1.009,NOT,NOT,N,-0.191,5
CC1(C)CN1,SNd,-0.192,-0.595,NOT,7.89,B,-1.453,5
CC1(C)CO1,SNa,-0.769,-0.595,NOT,-4.20,N,-1.005,5
CC1CC1C,SC5,-2.91,-1.656,NOT,NOT,N,0.269,5
CC1CC1N,SNd,-0.124,-0.595,NOT,10.06,B,-3.617,5
CC1CC1O,SNda,-0.165,-0.595,17.07,-1.90,B,-0.895,5
CC1CC1F,SNa,-1.716,-0.595,NOT,NOT,N,-1.005,5
NC1CC1N,SP3,2.32,2.106,NOT,9.50,B,-4.960,5
NC1CC1O,SP2,1.839,0.92,15.02,9.35,B,-3.959,5
NC1CC1F,SP1,0.906,0.54,NOT,8.65,B,-2.817,5
OC1CC1O,SP2,2.018,0.92,14.25,-2.99,A,-2.012,5
OC1CC1F,SP1,0.824,0.54,14.19,-3.15,A,-1.574,5
FC1CC1F,SNa,-0.741,-0.595,NOT,NOT,N,-1.005,5
CC1NC1C,SP1,0.329,0.54,NOT,7.89,B,-2.058,5
CC1OC1C,SNa,-0.906,-0.595,NOT,-4.20,N,-1.005,5
CC1CN1C,SNd,-0.041,-0.595,NOT,6.84,B,-0.970,5
CCCCC,C1,-4.681,-3.394,NOT,NOT,N,0.071,5
CCCCN,Nd,-1.18,-0.595,NOT,10.21,B,-3.766,5
CCCCO,Nda,-1.153,-0.595,16.95,-1.94,B,-0.895,5
CCCCF,C4,-2.457,-2.424,NOT,NOT,N,0.183,5
NCCCN,P3,1.935,2.106,NOT,10.17,B,-5.618,5
NCCCO,P2,1.386,0.92,15.93,9.84,B,-4.448,5
NCCCF,P1,0.645,0.54,NOT,10.13,B,-4.292,5
OCCCO,P3,1.62,2.106,15.60,-2.41,A,-2.865,5
OCCCF,P1,0.48,0.54,15.89,-2.41,A,-1.574,5
FCCCF,Na,-0.769,-0.595,NOT,NOT,N,-1.005,5
CCCNC,Nd,-0.92,-0.595,NOT,10.59,B,-4.144,5
CNCCN,P3,1.839,2.106,NOT,10.08,B,-5.531,5
CNCCO,P2,1.455,0.92,15.60,9.81,B,-4.418,5
CNCCF,P1,0.247,0.54,NOT,8.84,B,-3.007,5
CCCOC,Na,-1.235,-0.595,NOT,-4.10,N,-1.005,5
COCCN,P2,1.386,0.92,NOT,9.45,B,-4.059,5
COCCO,P2,1.071,0.92,15.12,-2.75,A,-2.012,5
COCCF,Na,-0.247,-0.595,NOT,-4.12,N,-1.005,5
COCOC,P1,0.508,0.54,NOT,-3.98,N,-1.574,5
CCNCC,Nd,-1.043,-0.595,NOT,10.58,B,-4.134,5
CCOCC,C5,-1.537,-1.656,NOT,-4.12,N,0.269,5
CCCC=C,C1,-3.898,-3.394,NOT,NOT,N,0.071,5
CCCC=O,C5,-1.51,-1.656,18.02,-6.94,N,0.269,5
CCCC#N,N0,-0.81,-1.009,NOT,NOT,N,-0.191,5
NCCC=C,Nd,-0.357,-0.595,NOT,10.17,B,-3.727,5
OCCC=C,Nda,-0.837,-0.595,16.93,-1.95,B,-0.895,5
OCCC=O,P2,1.016,0.92,15.78,-2.44,A,-2.012,5
OCCC#N,P2,1.359,0.92,15.19,-2.72,A,-2.012,5
FCCC=C,C5,-1.757,-1.656,NOT,NOT,N,0.269,5
FCCC=O,P1,0.357,0.54,16.37,-7.00,N,-1.574,5
FCCC#N,Na,-0.343,-0.595,NOT,NOT,N,-1.005,5
CNCC=C,Nd,-0.233,-0.595,NOT,9.80,B,-3.358,5
CNCC=O,P2,1.318,0.92,18.74,8.48,B,-3.090,5
CNCC#N,P2,1.482,0.92,NOT,5.76,B,-2.012,5
COCC=C,Na,-0.824,-0.595,NOT,-4.13,N,-1.005,5
COCC=O,P1,0.59,0.54,18.00,-4.15,N,-1.574,5
COCC#N,P1,0.343,0.54,NOT,-4.20,N,-1.574,5
CCNC=N,P2,1.043,0.92,NOT,12.10,B,-6.640,5
CCNC=O,P1,0.577,0.54,16.60,-1.08,B,-1.574,5
CCNN=C,Nd,0.11,-0.595,NOT,5.39,B,-0.974,5
CNNC=N,P4,2.745,2.223,NOT,10.47,B,-6.382,5
CNNC=O,P4,2.265,2.223,13.18,3.90,B,-3.365,5
CONC=N,P3,1.771,2.106,NOT,9.23,B,-4.692,5
CONC=O,P2,1.482,0.92,9.61,-4.59,A,-2.012,5
CCOC=C,C5,-1.633,-1.656,NOT,-4.71,N,0.269,5
CCOC=O,Na,-0.522,-0.595,NOT,-6.82,N,-1.005,5
CCON=C,Na,-0.878,-0.595,NOT,4.83,B,-1.005,5
CCCC#C,C3,-2.924,-2.93,NOT,NOT,N,0.023,5
NCCC#C,Nd,0.055,-0.595,NOT,9.87,B,-3.428,5
OCCC#C,Nda,0.069,-0.595,16.34,-2.21,N,-0.895,5
FCCC#C,Na,-1.29,-0.595,NOT,NOT,N,-1.005,5
CNCC#C,P2,0.769,0.92,NOT,9.24,B,-3.849,5
COCC#C,Na,-0.522,-0.595,NOT,-4.19,N,-1.005,5
C=CCC=C,C2,-3.281,-3.284,NOT,NOT,N,-0.009,5
C=CCC=O,Na,-0.371,-0.595,18.23,-7.04,N,-1.005,5
C=CCC#N,N0,-0.837,-1.009,NOT,NOT,N,-0.191,5
O=CCC=O,Na,-0.137,-0.595,6.76,-6.81,A,-1.623,5
O=CCC#N,Na,-0.014,-0.595,14.86,-7.27,A,-1.005,5
N#CCC#N,P2,1.153,0.92,9.39,NOT,A,-2.012,5
C=CNC=N,P2,1.167,0.92,NOT,11.73,B,-6.298,5
C=CNC=O,P2,0.933,0.92,14.45,-5.06,A,-2.012,5
N=CNC=N,P4,2.237,2.223,NOT,9.85,B,-5.793,5
N=CNC=O,P4,2.567,2.223,11.98,4.20,B,-3.365,5
O=CNC=O,P4,2.21,2.223,12.16,-6.51,A,-3.365,5
C=NNC=N,P2,0.878,0.92,19.45,6.65,B,-2.011,5
C=NNC=O,P2,0.961,0.92,12.18,2.80,B,-2.012,5
C=COC=C,C5,-1.963,-1.656,NOT,-5.12,N,0.269,5
C=COC=O,Na,-0.563,-0.595,NOT,-6.94,N,-1.005,5
C=NOC=O,P1,0.316,0.54,NOT,2.17,B,-1.574,5
C=CCC#C,C5,-1.702,-1.656,NOT,NOT,N,0.269,5
O=CCC#C,Na,-0.137,-0.595,17.86,-7.23,N,-1.005,5
C#CCC#N,N0,-0.522,-1.009,12.57,NOT,A,-0.191,5
C#CCC#C,N0,-1.29,-1.009,NOT,NOT,N,-0.191,5
CCC=CC,C1,-3.761,-3.394,NOT,NOT,N,0.071,5
CCC=CF,C3,-3.088,-2.93,NOT,NOT,N,0.023,5
CC=CCN,Nd,-0.782,-0.595,NOT,9.65,B,-3.208,5
NCC=CF,P1,0.398,0.54,NOT,9.58,B,-3.745,5
CC=CCO,Nda,-1.057,-0.595,16.22,-2.27,N,-0.895,5
OCC=CF,Nda,-0.151,-0.595,15.51,-2.57,A,-0.895,5
CC=CCF,C4,-2.347,-2.424,NOT,NOT,N,0.183,5
FCC=CF,C5,-1.414,-1.656,NOT,NOT,N,0.269,5
CCC=NN,Nd,-0.673,-0.595,NOT,5.29,B,-0.974,5
CCC=NO,Nda,-0.48,-0.595,11.35,3.36,A,-0.895,5
NCC=NO,P3,1.592,2.106,8.34,10.50,B,-5.938,5
NN=CCO,P2,1.496,0.92,14.94,4.11,B,-2.012,5
OCC=NO,P2,1.373,0.92,8.41,1.89,A,-2.012,5
NN=CCF,P1,0.357,0.54,19.72,3.30,B,-1.574,5
ON=CCF,P1,0.535,0.54,6.84,1.01,A,-2.129,5
CNC=NC,P1,0.549,0.54,NOT,11.62,B,-5.752,5
CN=CNN,P3,1.771,2.106,NOT,9.85,B,-5.305,5
CN=CNO,P2,1.482,0.92,15.39,8.64,B,-3.250,5
NNC=NN,P4,2.608,2.223,18.34,7.56,B,-3.524,5
NN=CNO,P4,2.484,2.223,15.36,6.37,B,-3.365,5
ONC=NO,P4,2.416,2.223,10.83,2.63,A,-3.365,5
COC=CC,C5,-1.977,-1.656,NOT,-4.70,N,0.269,5
COC=CF,N0,-1.331,-1.009,NOT,-4.81,N,-0.191,5
COC=NN,P1,0.727,0.54,18.85,3.21,B,-1.574,5
COC=NO,P2,0.961,0.92,10.03,0.95,A,-2.012,5
CNN=CC,Nd,-0.069,-0.595,NOT,5.26,B,-0.974,5
CON=CC,Na,-0.92,-0.595,NOT,4.46,B,-1.005,5
CC=CC=C,C1,-3.637,-3.394,NOT,NOT,N,0.071,5
FC=CC=C,C4,-2.471,-2.424,NOT,NOT,N,0.183,5
CC=CC=O,Na,-1.208,-0.595,NOT,-4.09,N,-1.005,5
CC=CC#N,N0,-0.961,-1.009,NOT,NOT,N,-0.191,5
NC=CC=O,P2,1.112,0.92,NOT,-3.29,N,-2.012,5
NC=CC#N,P1,0.508,0.54,NOT,3.12,B,-1.574,5
FC=CC=O,Na,-0.549,-0.595,NOT,-5.84,N,-1.005,5
FC=CC#N,Na,-0.659,-0.595,NOT,NOT,N,-1.005,5
NN=CC=C,Nd,-0.357,-0.595,NOT,5.23,B,-0.974,5
ON=CC=C,Nda,-0.398,-0.595,11.82,3.50,B,-0.895,5
ON=CC=O,P1,0.343,0.54,8.13,-0.59,A,-1.572,5
ON=CC#N,P2,0.961,0.92,5.73,-2.05,A,-3.680,5
CC=NN=C,C5,-1.688,-1.656,NOT,-0.45,B,0.269,5
CC=CC#C,C4,-2.32,-2.424,NOT,NOT,N,0.183,5
FC=CC#C,C5,-1.482,-1.656,NOT,NOT,N,0.269,5
NN=CC#C,P1,0.165,0.54,NOT,3.40,B,-1.574,5
ON=CC#C,P1,0.316,0.54,10.16,1.41,A,-1.574,5
CCC#CC,C3,-2.924,-2.93,NOT,NOT,N,0.023,5
CC#CCN,Nd,-0.426,-0.595,NOT,8.92,B,-2.480,5
CC#CCO,Nda,0.014,-0.595,13.67,-3.38,A,-0.895,5
CC#CCF,C5,-1.661,-1.656,NOT,NOT,N,0.269,5
CC#CC=C,C4,-2.32,-2.424,NOT,NOT,N,0.183,5
CC#CC=O,C5,-1.496,-1.656,NOT,-5.65,N,0.269,5
CC#CC#N,N0,-0.865,-1.009,NOT,NOT,N,-0.191,5
CC#CC#C,C4,-2.567,-2.424,NOT,NOT,N,0.183,5
CCC1CC1,SC3,-4.022,-2.93,NOT,NOT,N,0.023,5
