smiles,martini_bead,dg_wo_aa,dg_wo_cg,apka,bpka,acidity,log_perm_coeff,n_atoms
NC1(C=CC=C1)C#C,SNd_SC5,-0.618,-2.251,NOT,8.31,B,-0.815,8
OC1(C=CC=C1)C#C,SNda_SC5,-1.043,-2.251,14.56,-2.99,A,0.047,8
CC1(C=NN=C1)C#C,SN0_SN0,-1.881,-2.017,NOT,-2.37,N,-0.05,8
NC1(C=NN=C1)C#C,SNd_SN0,-0.069,-1.604,NOT,6.78,B,-1.042,8
OC1(C=NN=C1)C#C,SNda_SN0,-0.357,-1.604,11.22,-3.86,A,-1.133,8
FC1(C=NN=C1)C#C,SNa_SN0,-1.043,-1.604,NOT,-4.53,N,-1.176,8
CC(CN)C1(C)CC1,Nd_SC5,-2.182,-2.251,NOT,10.21,B,-2.696,8
CC(CO)C1(C)CC1,Nda_SC5,-1.633,-2.251,17.91,-1.53,B,0.047,8
CC(CF)C1(C)CC1,C4_SC5,-3.637,-4.08,NOT,NOT,N,0.45,8
CC1(CC1)C(N)CN,SC5_P4,0.577,0.566,NOT,9.69,B,-4.972,8
CC1(CC1)C(N)CO,SC5_P3,0.192,0.449,15.11,9.60,B,-4.175,8
CC1(CC1)C(N)CF,SC5_P2,-0.494,-0.736,NOT,8.94,B,-2.618,8
CC1(CC1)C(O)CN,SC5_P3,0.275,0.449,14.36,9.57,B,-4.146,8
CC1(CC1)C(O)CO,SC5_P3,0.371,0.449,13.88,-2.94,A,-2.006,8
CC1(CC1)C(O)CF,SC5_P2,-1.043,-0.736,13.66,-3.39,A,-1.086,8
CCC(F)C1(C)CC1,C4_SC5,-4.434,-4.08,NOT,NOT,N,0.45,8
CC(CN)C1(N)CC1,Nd_SP1,0.727,-0.055,NOT,10.24,B,-5.455,8
CC(CO)C1(N)CC1,Nda_SP1,0.247,-0.055,15.42,9.97,B,-5.276,8
CC(CF)C1(N)CC1,C4_SP1,-0.645,-1.883,NOT,10.26,B,-2.779,8
NCC(N)C1(N)CC1,P4_SP1,2.539,2.763,NOT,9.54,B,-7.198,8
NC(CO)C1(N)CC1,P3_SP1,2.265,2.646,15.07,9.44,B,-6.729,8
NC(CF)C1(N)CC1,P2_SP1,1.73,1.46,NOT,9.49,B,-5.902,8
CCC(O)C1(N)CC1,Nda_SP1,-0.069,-0.055,14.39,9.71,B,-5.022,8
NCC(O)C1(N)CC1,P3_SP1,2.224,2.646,14.03,9.61,B,-6.89,8
NC1(CC1)C(O)CO,SP1_P3,1.949,2.646,13.58,9.34,B,-6.633,8
NCC(F)C1(N)CC1,P2_SP1,1.647,1.46,NOT,8.93,B,-5.348,8
CCC(C)C1(O)CC1,C5_SNda,-2.471,-2.251,18.59,-1.23,B,0.047,8
CC(CF)C1(O)CC1,C4_SP1,-0.796,-1.883,14.77,-2.90,A,-0.063,8
NC(CF)C1(O)CC1,P2_SP1,1.043,1.46,14.42,8.71,B,-5.129,8
CCC(O)C1(O)CC1,Nda_SP1,0.398,-0.055,13.76,-3.19,A,-2.726,8
NCC(O)C1(O)CC1,P3_SP1,2.004,2.646,13.51,9.20,B,-6.499,8
OC(CF)C1(O)CC1,P2_SP1,0.851,1.46,12.92,-3.23,A,-3.821,8
CCC(C)C1(F)CC1,C1_SNa,-3.926,-3.989,NOT,NOT,N,0.516,8
CC(CN)C1(F)CC1,P2_SC5,-0.604,-0.736,NOT,10.13,B,-3.789,8
CCC(N)C1(F)CC1,Nd_SNa,-0.975,-1.19,NOT,9.28,B,-3.76,8
NCC(N)C1(F)CC1,P4_SNa,1.62,1.628,NOT,9.37,B,-6.654,8
NC(CO)C1(F)CC1,P3_SNa,1.029,1.511,15.02,8.70,B,-5.494,8
NC(CF)C1(F)CC1,P2_SNa,-0.233,0.325,NOT,8.06,B,-3.896,8
CCC(O)C1(F)CC1,Nda_SNa,-1.222,-1.19,13.72,-3.36,A,-1.991,8
NCC(O)C1(F)CC1,P3_SNa,1.139,1.511,13.37,9.49,B,-6.259,8
OC(CF)C1(F)CC1,P2_SNa,-0.494,0.325,12.66,-3.82,A,-3.237,8
CNC(C)C1(C)CC1,Nd_SC5,-1.469,-2.251,NOT,10.54,B,-3.02,8
CNC(C)C1(N)CC1,Nd_SP1,0.782,-0.055,NOT,10.28,B,-5.494,8
CNC(C)C1(O)CC1,Nd_SP1,0.288,-0.055,14.50,10.04,B,-5.259,8
CNC(C)C1(F)CC1,Nd_SNa,-0.81,-1.19,NOT,9.08,B,-3.561,8
COC(C)C1(C)CC1,Na_SC5,-2.471,-2.251,NOT,-4.12,N,-0.062,8
COC(C)C1(N)CC1,Na_SP1,0.082,-0.055,NOT,9.61,B,-4.738,8
COC(C)C1(O)CC1,Na_SP1,0.041,-0.055,14.11,-3.19,A,-2.535,8
COC(C)C1(F)CC1,Na_SNa,-1.757,-1.19,NOT,-4.14,N,-2.22,8
CCN(C)C1(C)CC1,C5_SNd,-2.237,-2.251,NOT,9.99,B,-2.479,8
CCC(C)C1(C)CN1,C1_SP1,-2.141,-2.854,NOT,8.06,B,0.499,8
CC(CN)C1(C)CN1,Nd_SP1,0.673,-0.055,NOT,9.88,B,-5.101,8
CC(CO)C1(C)CN1,Nda_SP1,0.316,-0.055,15.42,7.54,B,-2.865,8
CC(CF)C1(C)CN1,C4_SP1,-1.098,-1.883,NOT,7.68,B,-0.252,8
CC1(CN1)C(N)CN,SP1_P4,2.265,2.763,NOT,9.28,B,-6.958,8
CC1(CN1)C(N)CO,SP1_P3,1.977,2.646,15.07,9.10,B,-6.402,8
CC1(CN1)C(N)CF,SP1_P2,1.249,1.46,NOT,8.46,B,-4.88,8
CC1(CN1)C(O)CN,SP1_P3,2.086,2.646,13.99,9.24,B,-6.537,8
CC1(CN1)C(O)CO,SP1_P3,1.812,2.646,13.55,6.71,B,-4.721,8
CNC(C)C1(C)CN1,Nd_SP1,0.467,-0.055,NOT,9.74,B,-4.963,8
COC(C)C1(C)CN1,Na_SP1,-0.343,-0.055,NOT,7.13,B,-2.535,8
CCC(C)C1(C)CO1,C1_SNa,-2.883,-3.989,NOT,-4.20,N,0.516,8
CC(CN)C1(C)CO1,Nd_SNa,-0.055,-1.19,NOT,10.14,B,-4.614,8
CC(CO)C1(C)CO1,Nda_SNa,-0.22,-1.19,15.39,-2.63,A,-1.991,8
CC(CF)C1(C)CO1,C4_SNa,-1.592,-3.019,NOT,-4.20,N,0.336,8
CC1(CO1)C(N)CN,SNa_P4,1.935,1.628,NOT,9.48,B,-6.754,8
CC1(CO1)C(N)CO,SNa_P3,1.579,1.511,15.03,9.18,B,-5.962,8
CCC(O)C1(C)CO1,Nda_SNa,-0.439,-1.19,13.94,-3.26,A,-1.991,8
CNC(C)C1(C)CO1,Nd_SNa,-0.426,-1.19,NOT,9.85,B,-4.327,8
COC(C)C1(C)CO1,Na_SNa,-0.755,-1.19,NOT,-3.88,N,-2.22,8
CC(C=C)C1(C)CC1,C3_SC5,-4.887,-4.587,NOT,NOT,N,0.477,8
CC(C=O)C1(C)CC1,Na_SC5,-2.141,-2.251,18.33,-7.03,N,-0.062,8
CC(C#N)C1(C)CC1,P1_SC5,-2.484,-1.116,NOT,NOT,N,-0.522,8
CC1(CC1)C(N)C=C,SC5_P1,-1.606,-1.116,NOT,9.63,B,-2.709,8
CC1(CC1)C(O)C=C,SC5_Nda,-1.51,-2.251,18.27,-1.37,B,0.047,8
CC1(CC1)C(O)C=O,SC5_P2,-0.192,-0.736,13.10,-3.63,A,-1.086,8
CC1(CC1)C(O)C#N,SC5_P3,-0.631,0.449,12.10,-4.07,A,-2.006,8
CC1(CC1)C(F)C=C,SC5_Na,-3.486,-2.251,NOT,NOT,N,-0.062,8
CC1(CC1)C(F)C#N,SC5_Na,-2.045,-2.251,NOT,NOT,N,-0.062,8
CC(C=C)C1(N)CC1,C3_SP1,-1.331,-2.39,NOT,10.30,B,-2.202,8
NC(C=C)C1(N)CC1,P1_SP1,1.277,1.08,NOT,9.65,B,-5.378,8
NC1(CC1)C(O)C=C,SP1_Nda,1.057,-0.055,14.02,9.66,B,-4.973,8
CC(C=C)C1(O)CC1,C3_SP1,-1.592,-2.39,18.56,-1.24,B,0.285,8
CC(C=O)C1(O)CC1,Na_SP1,0.439,-0.055,14.68,-2.94,A,-2.535,8
CC(C#N)C1(O)CC1,P1_SP1,-0.165,1.08,14.23,-3.13,A,-3.133,8
NC(C=C)C1(O)CC1,P1_SP1,0.837,1.08,14.44,9.36,B,-5.09,8
OC(C=C)C1(O)CC1,Nda_SP1,0.453,-0.055,13.50,-3.22,A,-2.726,8
OC(C=O)C1(O)CC1,P2_SP1,1.784,1.46,12.39,-3.26,A,-3.821,8
OC(C#N)C1(O)CC1,P3_SP1,1.469,2.646,11.39,-3.48,A,-4.721,8
OC1(CC1)C(F)C=C,SP1_Na,-0.878,-0.055,13.74,-3.35,A,-2.535,8
OC1(CC1)C(F)C#N,SP1_Na,0.178,-0.055,13.12,-3.62,A,-2.535,8
CC(C=C)C1(F)CC1,C3_SNa,-3.473,-3.525,NOT,NOT,N,0.446,8
CC(C=O)C1(F)CC1,Na_SNa,-1.249,-1.19,16.88,-7.09,N,-2.22,8
CC(C#N)C1(F)CC1,P1_SNa,-1.661,-0.055,NOT,NOT,N,-2.535,8
NC(C=C)C1(F)CC1,P1_SNa,-0.192,-0.055,NOT,8.69,B,-3.824,8
OC(C=C)C1(F)CC1,Nda_SNa,-0.878,-1.19,13.35,-3.52,A,-1.991,8
OC(C#N)C1(F)CC1,P3_SNa,0.192,1.511,11.08,-4.51,A,-4.203,8
FC(C#N)C1(F)CC1,Na_SNa,-1.62,-1.19,NOT,NOT,N,-2.22,8
CN(C=O)C1(C)CC1,P3_SC5,-0.027,0.449,NOT,-1.16,B,-2.006,8
CC1(CC1)N(N)C=N,SC5_P4,0.329,0.566,NOT,9.56,B,-4.855,8
CC1(CC1)N(N)C=O,SC5_P4,0.727,0.566,NOT,3.95,B,-2.775,8
CC1(CC1)N(O)C=N,SC5_P4,0.124,0.566,14.41,8.11,B,-3.475,8
CC1(CC1)N(O)C=O,SC5_P4,0.878,0.566,8.28,-5.74,A,-2.775,8
CN(N=C)C1(C)CC1,P2_SC5,-1.112,-0.736,NOT,4.89,B,-1.086,8
CC(C=C)C1(C)CN1,C3_SP1,-0.769,-2.39,NOT,7.97,B,0.017,8
CC(C=O)C1(C)CN1,Na_SP1,0.604,-0.055,17.41,7.32,B,-2.563,8
